sample_index,adc_raw,voltage_V
1182,360,0.07251
1183,774,0.15591
1184,1373,0.27656
1185,1898,0.38231
1186,2191,0.44133
1187,2177,0.43851
1188,1754,0.35331
1189,1212,0.24413
1190,630,0.12690
1191,302,0.06083
1192,416,0.08379
1193,810,0.16316
1194,1362,0.27435
1195,1928,0.38835
1196,2136,0.43025
1197,2116,0.42622
1198,1753,0.35310
1199,1125,0.22661
1200,606,0.12207
1201,358,0.07211
1202,473,0.09528
1203,842,0.16960
1204,1452,0.29247
1205,1952,0.39319
1206,2145,0.43206
1207,2119,0.42683
1208,1671,0.33659
1209,1070,0.21553
1210,564,0.11361
1211,300,0.06043
1212,460,0.09266
1213,919,0.18511
1214,1517,0.30557
1215,1987,0.40024
1216,2177,0.43851
1217,2097,0.42240
1218,1592,0.32067
1219,1059,0.21331
1220,511,0.10293
1221,330,0.06647
1222,538,0.10837
1223,999,0.20123
1224,1567,0.31564
1225,2084,0.41978
1226,2221,0.44737
1227,2014,0.40568
1228,1503,0.30275
1229,980,0.19740
1230,451,0.09084
1231,312,0.06285
1232,620,0.12489
1233,1107,0.22298
1234,1678,0.33800
1235,2038,0.41051
1236,2239,0.45100
1237,1968,0.39641
1238,1424,0.28683
1239,908,0.18290
1240,439,0.08843
1241,315,0.06345
1242,592,0.11925
1243,1116,0.22479
1244,1712,0.34485
1245,2104,0.42381
1246,2178,0.43871
1247,1896,0.38191
1248,1418,0.28563
1249,805,0.16215
1250,404,0.08138
1251,381,0.07674
1252,701,0.14120
1253,1241,0.24997
1254,1760,0.35451
1255,2110,0.42501
1256,2188,0.44073
1257,1851,0.37284
1258,1340,0.26991
1259,774,0.15591
1260,411,0.08279
1261,372,0.07493
1262,680,0.13697
1263,1237,0.24917
1264,1809,0.36438
1265,2114,0.42582
1266,2148,0.43267
1267,1827,0.36801
1268,1298,0.26145
1269,694,0.13979
1270,380,0.07654
1271,359,0.07231
1272,827,0.16658
1273,1352,0.27233
1274,1892,0.38110
1275,2135,0.43005
1276,2127,0.42844
1277,1799,0.36237
1278,1216,0.24494
1279,670,0.13496
1280,315,0.06345
1281,455,0.09165
